Post_Id,Core_Node,Image_freeze,link_media,link_embeded,relationship_event_actor,media_venue,blurb,link_post,media_type,date,tag_1,tag_2,message,shares,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,total_likes
100,Sistema de lecto y escritura del Idioma Ngabe,https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s130x130/10959679_10153552506443942_2990498189880231102_n.jpg?oh=88afea1c6b6379dac9cade2f8105c1fe&oe=55A178F6,https://www.facebook.com/115374353941/photos/a.10153552503953942.1073741828.115374353941/10153552506443942/?type=1,,Alianza para la Conservacion y el Desarrollo - ACD Panama,,,https://www.facebook.com/560058540683250/posts/848561795166255,photo,2015-02-03T00:57:49+0000,,,"""Delegación de alta comisión de gobierno encabezada por la canciller Isabel Sain Malo de Alvarado ,ministro Rodolfo de Aguilera y Mirei Endara entre otros visito la comunidad cultural de Kiad y los petroglifos lugar sagrado del pueblo Ngäbe Bugle y cementerios ancestrales ubicado a la orilla del rió Tabasara .
El pueblo Ngäbe mediante la alta comisión de la comarca Ngäbes Bugle pidió a la alta comisión de gobierno paralizar inmediatamente la obra de Barro Blanco y retirar demanda penales en contra de los dirigente Manolo Miranda y Ricardo Miranda para poder iniciar conversación sobre el tema de barro blanco y las violaciones de los derechos humanos que causa dicha represa,sin presiones ,ni condiciones y por tiempo indefinido.""",,,Elcio De Sá,,Alianza para la Conservacion y el Desarrollo - ACD Panama,,,,,,,,,,,,,,,,,2
99,Sistema de lecto y escritura del Idioma Ngabe,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xpf1/v/t15.0-10/s130x130/1542006_675132615885034_675130919218537_61011_1820_b.jpg?oh=1f9740b8a0b25a43e4d4e02d2c8403e3&oe=5576A9C4&__gda__=1438211080_1158a211f88dc1d859066ab50c3eba01,https://www.facebook.com/video.php?v=675130919218537,https://scontent.xx.fbcdn.net/hvideo-xaf1/v/t42.1790-2/1928424_675132585885037_2028100888_n.mp4?efg=eyJybHIiOjExNTIsInJsYSI6NTEyLCJxZV9ncm91cHMiOlsiZV8wMzI0XzEiXX0%3D&rl=1152&vabr=640&oh=4bd8acac5178fd0c8c66d74c9e9cb64a&oe=551ACFF6,Movimiento 10 De Abril .m-10,,"""comunidad internacional llega al campamento de la resistencia en contra de barro blanco en Kiad a la orilla del Tabasara.
Nao de Tokio Japón envía un mensaje alto y claro .""",https://www.facebook.com/560058540683250/posts/845815148774253,video,2015-01-27T18:10:15+0000,Tabasará libre,,,,,,,Movimiento 10 De Abril .m-10,,,,,,,,,,,,,,,,,1
98,Sistema de lecto y escritura del Idioma Ngabe,https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/q81/s130x130/10917303_858177470913880_8071894504887127311_n.jpg?oh=839e999397a20ed1bbac877d27e56c85&oe=55B89DEF,https://www.facebook.com/Movimiento10DeAbrilm10/photos/a.362782973786668.86713.333272283404404/858177470913880/?type=1,,Movimiento 10 De Abril .m-10,,"""El movimiento 10 de abril esta a la espera de la demanda anunciada por los señores diputados Ausencio Palacio y Jaime Pedrol G, el M-10 tenemos las pruebas para enfrentar cualquier acción legal que los señores padres de la patria desee llevar acabo ,si embargo consideramos que esta es una clara amenaza que consististe en una madera perfecta de intimidación para callarnos y así lograr sus objetivos que van en contra de la libre determinación del pueblo Ngäbe Bugle que desea la cancelación definitiva de barro blanco, la cual El movimiento 10 de abril no va acceder a estas intimidaciones,mas todo lo contrario no callaremos ante cualquiera intención de negociar el rió Tabasara y el futuro del pueblo Ngäbe Bugle que vive a lo largo de este rió . 
Exhortamos a los señores padre de la patria Jaime Pedrol y Ausencio Palacio interponer la dicha demanda, mas no así tomar iniciativa sin consentimiento del pueblo afectado por la empresa GENISA y que van en contra del pueblo Ngäbe Bugle que lucha por la cancelación de barro blanco y el respeto a sus derechos humanos, y la LIBERTAD del rió Tabasara. """,https://www.facebook.com/560058540683250/posts/845815105440924,photo,2015-01-27T18:10:04+0000,Tabasará libre,,,,,Orestes Pascale Samudio,,Movimiento 10 De Abril .m-10,,,,,,,,,,,,,,,,,2
97,Sistema de lecto y escritura del Idioma Ngabe,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/s130x130/10891820_858191817579112_9015504785125487059_n.jpg?oh=5ccb0e318631a33edcbb81551bdcc610&oe=55A4BA3E&__gda__=1438442627_e15a0c397a1225f8b222f88972dfc452,https://www.facebook.com/Movimiento10DeAbrilm10/photos/a.362782973786668.86713.333272283404404/858191817579112/?type=1,,Movimiento 10 De Abril .m-10,,"""Comarca Ngäbe Bugle.
Tomando en cuenta la decisión del concejo de gabinete el pueblo Ngäbe Bugle, acepta el llamado de conversación, para el buen entendimiento sobre la situación de barro blanco.
Comunica al país.
1-) Designar la comisión en representación de la comarca Ngäbe Bugle a los siguientes miembros. 
-Autoridades tradicionales a la señora cacique general- Silvia Carrera y el cacique regional Kodriri -Geremia Mointero .
-Autoridades administrativas y locales: alcalde Rolando Carpintero y CHito Gallardo cacique local de Móna.
-Diputada: Cresencia Prado del circuito 12-3.
-Iglesia MamaTadda: Santiago Rodriguez Emeregildo Santos y Ernesto Castillo.
-Concejo Municipal H-R: Fermin Jimenez y Rodolfo Prado.
-Movimiento 10 de abril en representación de comunidad  afectadas directas: Manolo Miranda y Ricardo Miranda con sus respectivos equipo técnico( Prof. Evidelio Adames,Manuel Zarate, Cesar Roblez, y Ivanor Ruiz).
2-)Solicitar a la alta comisión de gobierno iniciar conversación para el dóa 29 de enero 2015 en la comunidad cultural de Kiad.
3-)Designar a Ricardo Miranda G para hacer publico todos los comunicados frente a la situación o decisión sobre proyecto Baro Blanco.
4-)Enviar copia de este comunicado a alta comisión de gobierno(Isabel Sain Malo de Alvarado y otros).
Dado en el distrito de Móna, región Kodri de la comarca Ngäbe Bugle a los 25 días del mes de enero 2015.
Comunóquese y cúmplase.
Firma:
CHito Gallardo j -cacique local de Móna.
Rolando Carpintero -alcalde del distrito de Móna.
Fermin Jimenez -concejo del distrito de Móna.
Cresencia Prado -diputada del circuito 12-3.
Goejeth Miranda -Movimiento 10 de abril.
Jeremias Montero-cacique regional Kodri.
Ricardo Miranda G-Movimiento 10 de abril M-10.""",https://www.facebook.com/560058540683250/posts/845813578774410,photo,2015-01-27T18:03:21+0000,,,,,,,,Movimiento 10 De Abril .m-10,,,,,,,,,,,,,,,,,1
96,Sistema de lecto y escritura del Idioma Ngabe,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQC3GPAZzBMvPlFh&w=130&h=130&url=http%3A%2F%2Fwww.tvn-2.com%2FNoticias%2FLists%2Farticleimagegalery%2FNacionales%2F25SEPT14%2FRICARDO%2520MIRANDA.jpg&cfs=1&sx=460&sy=0&sw=1080&sh=1080,http://www.tvn-2.com/Noticias/Paginas/ngbes-quieren-salida-pacifica-de-obra-de-barro-blanco.aspx,,Ngäbes quieren salida pacífica de obra de Barro Blanco,tvn-2.com,"""Ricardo Miranda, dirigente de la Comarca Ngäbe Buglé, expresó hoy en Noticias AM que los habitantes de dicho territorio quieren la salida pacífica del proyecto hidroeléctrico de Barro Blanco.""""Que no se entienda que buscamos resarcimiento, sino la cancelación inmediata porque la obra nos dejará sin‰Û_""",https://www.facebook.com/560058540683250/posts/786060648083037,link,2014-09-26T15:39:49+0000,,,"""Miranda dijo que el ministro de Gobierno, Milton Henríquez constató la existencia de petroglifos históricos y de comunidades que podrían ser desplazadas, por lo que pide que se agilice el proceso porque el proyecto está avanzando.""",,,,,,,,,,,,,,,,,,,,,,0
95,Sistema de lecto y escritura del Idioma Ngabe,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCcuH5bLxidSwW-&w=130&h=130&url=http%3A%2F%2Fimages.telemetro.com%2Fnacionales%2Fentrevistas%2FCOMARCA-NGOBE_MEDVID20140925_0014_9.jpg&cfs=1,http://www.telemetro.com/nacionales/entrevistas/COMARCA-NGOBE_3_737656241.html#.VCV7Til5OE5,http://files.telemetro.com/jwplayer5/player.swf?file=http%3A%2F%2Fvideo.telemetro.com%2Fmedvideo%2Fvideofile%2FMEDVID20140925_0014%2Fvideo_medium.mp4&autostart=true&hash=68ef1fa32cb2e2060f882ed2d6bb0b24,indígenas Ngäbe Buglé interesados en que energóa eléctrica llegue a Comarca,telemetro.com,Moradores de la Comarca Ngäbe Buglé plantearon la necesidad de implementar un sistema de electrificación en esta región para esté acorde al ...,https://www.facebook.com/560058540683250/posts/786056178083484,video,2014-09-26T15:26:07+0000,,,"""Juliana Santiago y Willy Jimenez se lanza con contra la voluntad de mi pueblo mi pueblo no quiere ni hidroelectrica ni mineria
ALERTA pueblo .""",,,,,,,,,,,,,,,,,,,,,,0
94,Sistema de lecto y escritura del Idioma Ngabe,https://scontent.xx.fbcdn.net/hphotos-xpf1/v/l/t1.0-9/s130x130/10649559_784642261558209_4263029483965619129_n.jpg?oh=99a831ea57b1fbd3207d81509c8684a7&oe=55B8C394,https://www.facebook.com/SistemaDeLectoYEscrituraDelIdiomaNgabe/photos/a.560061887349582.1073741825.560058540683250/784642261558209/?type=1,,Sistema de lecto y escritura del Idioma Ngabe,,,https://www.facebook.com/560058540683250/posts/784642288224873,photo,2014-09-23T23:42:58+0000,,,,,Juan Lopez,Rayland Jimenez,,,,,,,,,,,,,,,,,,,2
93,Sistema de lecto y escritura del Idioma Ngabe,https://scontent.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/s130x130/10311710_784641511558284_7664427090530351486_n.jpg?oh=9885263042361c1e0d33c907173e666e&oe=55750D8C,https://www.facebook.com/SistemaDeLectoYEscrituraDelIdiomaNgabe/photos/a.560064447349326.1073741827.560058540683250/784641511558284/?type=1,,,,,https://www.facebook.com/560058540683250/posts/784641574891611,photo,2014-09-23T23:40:04+0000,,,"""22 de septiembre a–o nuevo Ngäbe.
a–o 53 de la nueva orden.
nos complace felicitar a todo el pueblo Ngäbe Bugle.
FELICIDADES.""",,,,,,,,,,,,,,,,,,,,,,0
92,Sistema de lecto y escritura del Idioma Ngabe,https://scontent.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/s130x130/1233636_611232312232539_523233355_n.jpg?oh=fb01925a985e83ee938b90a7de41a2ac&oe=5572438D,https://www.facebook.com/SistemaDeLectoYEscrituraDelIdiomaNgabe/photos/a.611232255565878.1073741839.560058540683250/611232312232539/?type=1,,Sistema de lecto y escritura del Idioma Ngabe,,"""El pueblo Ngäbe Bugle se prepara para celebrar el nuevo año NGABE 2014.
espéralo.""",https://www.facebook.com/560058540683250/posts/773024979386604,photo,2014-08-31T18:42:33+0000,,,,1,Rayland Jimenez,Hernán García,,,,,,Sistema de lecto y escritura del Idioma Ngabe,,,,,,,,,,,,,3
91,Sistema de lecto y escritura del Idioma Ngabe,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/10462442_793368444018317_139332412900650961_n.jpg?oh=256d79d9ac963e0aa98d90dc8880ccca&oe=55BAD278,https://www.facebook.com/ciudaddelsaber/photos/a.793366404018521.1073741890.131283820226786/793368444018317/?type=1,,Fundación Ciudad del Saber,,,https://www.facebook.com/560058540683250/posts/764038723618563,photo,2014-08-10T20:13:03+0000,,,"""

El sistema de lecto y escritura Ngäbe hizo presencia en el II FESTIVAL DE ARTE DULE 2014 la cual nuestra organización agradece la oportunidad brindada y felicitar a sus organizadores por tan excelente trabajo.
""",,,,,Fundación Ciudad del Saber,,,,,,,,,,,,,,,,,1
